,country,city
0,Africa,Abidjan
1,Africa,Accra
2,Africa,Addis_Ababa
3,Africa,Algiers
4,Africa,Asmara
5,Africa,Bamako
6,Africa,Bangui
7,Africa,Banjul
8,Africa,Bissau
9,Africa,Blantyre
10,Africa,Brazzaville
11,Africa,Bujumbura
12,Africa,Cairo
13,Africa,Casablanca
14,Africa,Ceuta
15,Africa,Conakry
16,Africa,Dakar
17,Africa,Dar_es_Salaam
18,Africa,Djibouti
19,Africa,Douala
20,Africa,El_Aaiun
21,Africa,Freetown
22,Africa,Gaborone
23,Africa,Harare
24,Africa,Johannesburg
25,Africa,Juba
26,Africa,Kampala
27,Africa,Khartoum
28,Africa,Kigali
29,Africa,Kinshasa
30,Africa,Lagos
31,Africa,Libreville
32,Africa,Lome
33,Africa,Luanda
34,Africa,Lubumbashi
35,Africa,Lusaka
36,Africa,Malabo
37,Africa,Maputo
38,Africa,Maseru
39,Africa,Mbabane
40,Africa,Mogadishu
41,Africa,Monrovia
42,Africa,Nairobi
43,Africa,Ndjamena
44,Africa,Niamey
45,Africa,Nouakchott
46,Africa,Ouagadougou
47,Africa,Porto-Novo
48,Africa,Sao_Tome
49,Africa,Tripoli
50,Africa,Tunis
51,Africa,Windhoek
52,America,Adak
53,America,Anchorage
54,America,Anguilla
55,America,Antigua
56,America,Araguaina
57,America,Argentina
58,America,Argentina
59,America,Argentina
60,America,Argentina
61,America,Argentina
62,America,Argentina
63,America,Argentina
64,America,Argentina
65,America,Argentina
66,America,Argentina
67,America,Argentina
68,America,Argentina
69,America,Aruba
70,America,Asuncion
71,America,Atikokan
72,America,Bahia_Banderas
73,America,Bahia
74,America,Barbados
75,America,Belem
76,America,Belize
77,America,Blanc-Sablon
78,America,Boa_Vista
79,America,Bogota
80,America,Boise
81,America,Cambridge_Bay
82,America,Campo_Grande
83,America,Cancun
84,America,Caracas
85,America,Cayenne
86,America,Cayman
87,America,Chicago
88,America,Chihuahua
89,America,Ciudad_Juarez
90,America,Costa_Rica
91,America,Creston
92,America,Cuiaba
93,America,Curacao
94,America,Danmarkshavn
95,America,Dawson
96,America,Dawson_Creek
97,America,Denver
98,America,Detroit
99,America,Dominica
100,America,Edmonton
101,America,Eirunepe
102,America,El_Salvador
103,America,Fortaleza
104,America,Fort_Nelson
105,America,Glace_Bay
106,America,Goose_Bay
107,America,Grand_Turk
108,America,Grenada
109,America,Guadeloupe
110,America,Guatemala
111,America,Guayaquil
112,America,Guyana
113,America,Halifax
114,America,Havana
115,America,Hermosillo
116,America,Indiana
117,America,Indiana
118,America,Indiana
119,America,Indiana
120,America,Indiana
121,America,Indiana
122,America,Indiana
123,America,Indiana
124,America,Inuvik
125,America,Iqaluit
126,America,Jamaica
127,America,Juneau
128,America,Kentucky
129,America,Kentucky
130,America,Kralendijk
131,America,La_Paz
132,America,Lima
133,America,Los_Angeles
134,America,Lower_Princes
135,America,Maceio
136,America,Managua
137,America,Manaus
138,America,Marigot
139,America,Martinique
140,America,Matamoros
141,America,Mazatlan
142,America,Menominee
143,America,Merida
144,America,Metlakatla
145,America,Mexico_City
146,America,Miquelon
147,America,Moncton
148,America,Monterrey
149,America,Montevideo
150,America,Montserrat
151,America,Nassau
152,America,New_York
153,America,Nome
154,America,Noronha
155,America,North_Dakota
156,America,North_Dakota
157,America,North_Dakota
158,America,Nuuk
159,America,Ojinaga
160,America,Panama
161,America,Paramaribo
162,America,Phoenix
163,America,Port-au-Prince
164,America,Port_of_Spain
165,America,Porto_Velho
166,America,Puerto_Rico
167,America,Punta_Arenas
168,America,Rankin_Inlet
169,America,Recife
170,America,Regina
171,America,Resolute
172,America,Rio_Branco
173,America,Santarem
174,America,Santiago
175,America,Santo_Domingo
176,America,Sao_Paulo
177,America,Scoresbysund
178,America,Sitka
179,America,St_Barthelemy
180,America,St_Johns
181,America,St_Kitts
182,America,St_Lucia
183,America,St_Thomas
184,America,St_Vincent
185,America,Swift_Current
186,America,Tegucigalpa
187,America,Thule
188,America,Tijuana
189,America,Toronto
190,America,Tortola
191,America,Vancouver
192,America,Whitehorse
193,America,Winnipeg
194,America,Yakutat
195,Antarctica,Casey
196,Antarctica,Davis
197,Antarctica,DumontDUrville
198,Antarctica,Macquarie
199,Antarctica,Mawson
200,Antarctica,McMurdo
201,Antarctica,Palmer
202,Antarctica,Rothera
203,Antarctica,Syowa
204,Antarctica,Troll
205,Antarctica,Vostok
206,Arctic,Longyearbyen
207,Asia,Aden
208,Asia,Almaty
209,Asia,Amman
210,Asia,Anadyr
211,Asia,Aqtau
212,Asia,Aqtobe
213,Asia,Ashgabat
214,Asia,Atyrau
215,Asia,Baghdad
216,Asia,Bahrain
217,Asia,Baku
218,Asia,Bangkok
219,Asia,Barnaul
220,Asia,Beirut
221,Asia,Bishkek
222,Asia,Brunei
223,Asia,Chita
224,Asia,Choibalsan
225,Asia,Colombo
226,Asia,Damascus
227,Asia,Dhaka
228,Asia,Dili
229,Asia,Dubai
230,Asia,Dushanbe
231,Asia,Famagusta
232,Asia,Gaza
233,Asia,Hebron
234,Asia,Ho_Chi_Minh
235,Asia,Hong_Kong
236,Asia,Hovd
237,Asia,Irkutsk
238,Asia,Jakarta
239,Asia,Jayapura
240,Asia,Jerusalem
241,Asia,Kabul
242,Asia,Kamchatka
243,Asia,Karachi
244,Asia,Kathmandu
245,Asia,Khandyga
246,Asia,Kolkata
247,Asia,Krasnoyarsk
248,Asia,Kuala_Lumpur
249,Asia,Kuching
250,Asia,Kuwait
251,Asia,Macau
252,Asia,Magadan
253,Asia,Makassar
254,Asia,Manila
255,Asia,Muscat
256,Asia,Nicosia
257,Asia,Novokuznetsk
258,Asia,Novosibirsk
259,Asia,Omsk
260,Asia,Oral
261,Asia,Phnom_Penh
262,Asia,Pontianak
263,Asia,Pyongyang
264,Asia,Qatar
265,Asia,Qostanay
266,Asia,Qyzylorda
267,Asia,Riyadh
268,Asia,Sakhalin
269,Asia,Samarkand
270,Asia,Seoul
271,Asia,Shanghai
272,Asia,Singapore
273,Asia,Srednekolymsk
274,Asia,Taipei
275,Asia,Tashkent
276,Asia,Tbilisi
277,Asia,Tehran
278,Asia,Thimphu
279,Asia,Tokyo
280,Asia,Tomsk
281,Asia,Ulaanbaatar
282,Asia,Urumqi
283,Asia,Ust-Nera
284,Asia,Vientiane
285,Asia,Vladivostok
286,Asia,Yakutsk
287,Asia,Yangon
288,Asia,Yekaterinburg
289,Asia,Yerevan
290,Atlantic,Azores
291,Atlantic,Bermuda
292,Atlantic,Canary
293,Atlantic,Cape_Verde
294,Atlantic,Faroe
295,Atlantic,Madeira
296,Atlantic,Reykjavik
297,Atlantic,South_Georgia
298,Atlantic,Stanley
299,Atlantic,St_Helena
300,Australia,Adelaide
301,Australia,Brisbane
302,Australia,Broken_Hill
303,Australia,Darwin
304,Australia,Eucla
305,Australia,Hobart
306,Australia,Lindeman
307,Australia,Lord_Howe
308,Australia,Melbourne
309,Australia,Perth
310,Australia,Sydney
311,Europe,Amsterdam
312,Europe,Andorra
313,Europe,Astrakhan
314,Europe,Athens
315,Europe,Belgrade
316,Europe,Berlin
317,Europe,Bratislava
318,Europe,Brussels
319,Europe,Bucharest
320,Europe,Budapest
321,Europe,Busingen
322,Europe,Chisinau
323,Europe,Copenhagen
324,Europe,Dublin
325,Europe,Gibraltar
326,Europe,Guernsey
327,Europe,Helsinki
328,Europe,Isle_of_Man
329,Europe,Istanbul
330,Europe,Jersey
331,Europe,Kaliningrad
332,Europe,Kirov
333,Europe,Kyiv
334,Europe,Lisbon
335,Europe,Ljubljana
336,Europe,London
337,Europe,Luxembourg
338,Europe,Madrid
339,Europe,Malta
340,Europe,Mariehamn
341,Europe,Minsk
342,Europe,Monaco
343,Europe,Moscow
344,Europe,Oslo
345,Europe,Paris
346,Europe,Podgorica
347,Europe,Prague
348,Europe,Riga
349,Europe,Rome
350,Europe,Samara
351,Europe,San_Marino
352,Europe,Sarajevo
353,Europe,Saratov
354,Europe,Simferopol
355,Europe,Skopje
356,Europe,Sofia
357,Europe,Stockholm
358,Europe,Tallinn
359,Europe,Tirane
360,Europe,Ulyanovsk
361,Europe,Vaduz
362,Europe,Vatican
363,Europe,Vienna
364,Europe,Vilnius
365,Europe,Volgograd
366,Europe,Warsaw
367,Europe,Zagreb
368,Europe,Zurich
369,Indian,Antananarivo
370,Indian,Chagos
371,Indian,Christmas
372,Indian,Cocos
373,Indian,Comoro
374,Indian,Kerguelen
375,Indian,Mahe
376,Indian,Maldives
377,Indian,Mauritius
378,Indian,Mayotte
379,Indian,Reunion
380,Pacific,Apia
381,Pacific,Auckland
382,Pacific,Bougainville
383,Pacific,Chatham
384,Pacific,Chuuk
385,Pacific,Easter
386,Pacific,Efate
387,Pacific,Fakaofo
388,Pacific,Fiji
389,Pacific,Funafuti
390,Pacific,Galapagos
391,Pacific,Gambier
392,Pacific,Guadalcanal
393,Pacific,Guam
394,Pacific,Honolulu
395,Pacific,Kanton
396,Pacific,Kiritimati
397,Pacific,Kosrae
398,Pacific,Kwajalein
399,Pacific,Majuro
400,Pacific,Marquesas
401,Pacific,Midway
402,Pacific,Nauru
403,Pacific,Niue
404,Pacific,Norfolk
405,Pacific,Noumea
406,Pacific,Pago_Pago
407,Pacific,Palau
408,Pacific,Pitcairn
409,Pacific,Pohnpei
410,Pacific,Port_Moresby
411,Pacific,Rarotonga
412,Pacific,Saipan
413,Pacific,Tahiti
414,Pacific,Tarawa
415,Pacific,Tongatapu
416,Pacific,Wake
417,Pacific,Wallis
